"user_id","activity_date","activity_time","day_name","steps_total"
1503960366,"2016-04-12","00:00:00","Tuesday",373
1503960366,"2016-04-12","01:00:00","Tuesday",160
1503960366,"2016-04-12","02:00:00","Tuesday",151
1503960366,"2016-04-12","03:00:00","Tuesday",0
1503960366,"2016-04-12","04:00:00","Tuesday",0
1503960366,"2016-04-12","05:00:00","Tuesday",0
1503960366,"2016-04-12","06:00:00","Tuesday",0
1503960366,"2016-04-12","07:00:00","Tuesday",0
1503960366,"2016-04-12","08:00:00","Tuesday",250
1503960366,"2016-04-12","09:00:00","Tuesday",1864
1503960366,"2016-04-12","10:00:00","Tuesday",676
1503960366,"2016-04-12","11:00:00","Tuesday",360
1503960366,"2016-04-12","12:00:00","Tuesday",253
1503960366,"2016-04-12","13:00:00","Tuesday",221
1503960366,"2016-04-12","14:00:00","Tuesday",1166
1503960366,"2016-04-12","15:00:00","Tuesday",2063
1503960366,"2016-04-12","16:00:00","Tuesday",344
1503960366,"2016-04-12","17:00:00","Tuesday",489
1503960366,"2016-04-12","18:00:00","Tuesday",1386
1503960366,"2016-04-12","19:00:00","Tuesday",558
1503960366,"2016-04-12","20:00:00","Tuesday",1733
1503960366,"2016-04-12","21:00:00","Tuesday",684
1503960366,"2016-04-12","22:00:00","Tuesday",89
1503960366,"2016-04-12","23:00:00","Tuesday",338
1503960366,"2016-04-13","00:00:00","Wednesday",144
1503960366,"2016-04-13","01:00:00","Wednesday",0
1503960366,"2016-04-13","02:00:00","Wednesday",0
1503960366,"2016-04-13","03:00:00","Wednesday",36
1503960366,"2016-04-13","04:00:00","Wednesday",0
1503960366,"2016-04-13","05:00:00","Wednesday",0
1503960366,"2016-04-13","06:00:00","Wednesday",0
1503960366,"2016-04-13","07:00:00","Wednesday",126
1503960366,"2016-04-13","08:00:00","Wednesday",275
1503960366,"2016-04-13","09:00:00","Wednesday",1679
1503960366,"2016-04-13","10:00:00","Wednesday",295
1503960366,"2016-04-13","11:00:00","Wednesday",524
